size,SC,FIFO,LRU
3,89531,89657,89613
4,85822,86085,85905
5,82572,82893,82723
6,79107,79587,79321
7,75306,76044,75691
8,72089,73078,72513
9,68778,69875,69236
10,65131,66506,65599
11,61945,63813,62723
12,58670,60581,59412
13,55185,57662,55987
14,52269,54864,53185
15,49181,52257,50235
16,46090,49520,47023
17,43032,46794,43992
18,39727,44231,40993
19,36894,41380,37975
20,33914,38679,35092
21,30851,36194,32029
22,28742,34333,30067
23,26135,31960,27381
24,23436,29684,24576
25,20861,27411,22060
26,18845,25461,19912
27,17170,24055,18198
28,14920,22088,15954
29,13069,20196,13853
30,11124,18374,11858
31,10006,16845,10569
32,8719,15308,9259
33,7410,13858,7733
34,6271,12539,6606
35,5323,11340,5651
36,4544,10295,4783
37,4070,9349,4308
38,3272,8088,3460
39,2717,7218,2942
40,2314,6425,2762
41,2054,5878,2634
42,1575,5049,2086
43,1325,4370,1886
44,1099,3760,1972
45,911,3277,1949
46,745,2801,1850
47,635,2476,1730
48,459,1975,1822
49,457,1891,1818
50,384,1635,1445
